Ticker,EventDate,CAR_Window,CAR,Surprise,EPS_Estimate,Reported_EPS
PLTR,2023-08-07 16:05:00,10,-0.1629742920080299,-0.015600000000000001,0.05,0.05
PLTR,2023-08-07 16:05:00,30,-0.2354605704648313,-0.015600000000000001,0.05,0.05
PLTR,2023-05-08 16:05:00,1,0.03035751329388562,0.2544,0.04,0.05
PLTR,2023-05-08 16:05:00,2,0.027339653388542294,0.2544,0.04,0.05
PLTR,2023-05-08 16:05:00,5,-0.005403902855013399,0.2544,0.04,0.05
PLTR,2023-05-08 16:05:00,10,0.27573600512127716,0.2544,0.04,0.05
PLTR,2023-05-08 16:05:00,30,0.3906344421086784,0.2544,0.04,0.05
PLTR,2023-02-13 16:05:00,1,0.09389997519988737,0.5025999999999999,0.03,0.04
PLTR,2023-02-13 16:05:00,2,0.08300519505856566,0.5025999999999999,0.03,0.04
PLTR,2023-02-13 16:05:00,5,-0.007939879478140652,0.5025999999999999,0.03,0.04
PLTR,2023-02-13 16:05:00,10,-0.05890907318795567,0.5025999999999999,0.03,0.04
PLTR,2023-02-13 16:05:00,30,0.02978562151974461,0.5025999999999999,0.03,0.04
PLTR,2022-11-07 07:00:00,1,-0.0016999435657601043,-0.382,0.02,0.01
PLTR,2022-11-07 07:00:00,2,0.01740497548941122,-0.382,0.02,0.01
PLTR,2022-11-07 07:00:00,5,0.10264671105548256,-0.382,0.02,0.01
PLTR,2022-11-07 07:00:00,10,-0.03592618795570199,-0.382,0.02,0.01
PLTR,2022-11-07 07:00:00,30,-0.005570294866003205,-0.382,0.02,0.01
PLTR,2022-08-08 07:00:00,1,-0.014430855508560693,-1.3292,0.03,-0.01
PLTR,2022-08-08 07:00:00,2,-0.032184401932387405,-1.3292,0.03,-0.01
PLTR,2022-08-08 07:00:00,5,-0.05621029575499808,-1.3292,0.03,-0.01
PLTR,2022-08-08 07:00:00,10,-0.15861300538511555,-1.3292,0.03,-0.01
PLTR,2022-08-08 07:00:00,30,-0.17014410004601485,-1.3292,0.03,-0.01
PLTR,2022-05-09 07:00:00,1,-0.04159430102777352,-0.4595,0.04,0.02
PLTR,2022-05-09 07:00:00,2,0.05772140456876826,-0.4595,0.04,0.02
PLTR,2022-05-09 07:00:00,5,0.1197095883426983,-0.4595,0.04,0.02
PLTR,2022-05-09 07:00:00,10,0.1112382514162459,-0.4595,0.04,0.02
PLTR,2022-05-09 07:00:00,30,0.26451585305313274,-0.4595,0.04,0.02
PLTR,2022-02-17 06:00:00,1,-0.022202506141905227,-0.44060000000000005,0.04,0.02
PLTR,2022-02-17 06:00:00,2,0.016872788750745722,-0.44060000000000005,0.04,0.02
PLTR,2022-02-17 06:00:00,5,0.0995501575297694,-0.44060000000000005,0.04,0.02
PLTR,2022-02-17 06:00:00,10,0.14897649925655515,-0.44060000000000005,0.04,0.02
PLTR,2022-02-17 06:00:00,30,0.28008266984621333,-0.44060000000000005,0.04,0.02
PLTR,2021-11-09 07:00:00,1,0.019113054946885172,0.09380000000000001,0.04,0.04
PLTR,2021-11-09 07:00:00,2,-0.00010703919571298029,0.09380000000000001,0.04,0.04
PLTR,2021-11-09 07:00:00,5,-0.01897437525757155,0.09380000000000001,0.04,0.04
PLTR,2021-11-09 07:00:00,10,-0.0890910235469544,0.09380000000000001,0.04,0.04
PLTR,2021-11-09 07:00:00,30,-0.22324517444751465,0.09380000000000001,0.04,0.04
PLTR,2021-08-12 07:00:00,1,-0.016903133223874843,0.12990000000000002,0.04,0.04
PLTR,2021-08-12 07:00:00,2,-0.033119910918836246,0.12990000000000002,0.04,0.04
PLTR,2021-08-12 07:00:00,5,-0.025545367284822332,0.12990000000000002,0.04,0.04
